id,created_at,text
1039457538222243841,2018-09-11 10:16:03,"b'RT @EllenBarryNYT: When the Soviet Union collapsed, Vladimir Putin and Sergei Skripal lived through the same breathtaking loss of status an\xe2\x80\xa6'"
1039455024429064192,2018-09-11 10:06:04,"b""Morning\xc2\xa0Briefing: Here's what you need to know to start your day https://t.co/6MQTdlOfp0 https://t.co/0SK78FO6fi"""
1039453594297290752,2018-09-11 10:00:23,"b'RT @nytmedia: Our @koblin writes that Leslie Moonves made his name as a programmer of shows with clear-cut villains and heroes. On Sunday,\xe2\x80\xa6'"
1039449496185446400,2018-09-11 09:44:06,b'Officials in Europe are keenly aware that President Trump could undercut trade talks with a single tweet or comment\xe2\x80\xa6 https://t.co/W7ZOrA28jD'
1039445973179789313,2018-09-11 09:30:06,b'RT @nytimesworld: Pork is up. Vegetables are up. Gasoline is up. Prices are rising in China \xe2\x80\x94 and that could complicate Beijing\xe2\x80\x99s efforts t\xe2\x80\xa6'
1039442195198173184,2018-09-11 09:15:05,b'The Trump administration is preparing to make it significantly easier for energy companies to release methane into\xe2\x80\xa6 https://t.co/mIiQfHlJN8'
1039438435310882816,2018-09-11 09:00:09,"b'A United Nations panel said Xiyue Wang, a Princeton University graduate student, had been wrongly accused of espion\xe2\x80\xa6 https://t.co/BDwWbduopD'"
1039434646335959040,2018-09-11 08:45:06,"b'After 9/11, a police captain suffered from respiratory problems and PTSD, having spent 40 days at ground zero searc\xe2\x80\xa6 https://t.co/zeB8jwcCX7'"
1039430873173639168,2018-09-11 08:30:06,"b'30 years ago, British youth culture was transformed by acid house music and the drug Ecstasy. These fliers tell the\xe2\x80\xa6 https://t.co/X4IHw6ZOPc'"
1039427091996057600,2018-09-11 08:15:05,"b'On the same day that the White House welcomed a letter from Kim Jong-un, proposing another meeting of the 2 leaders\xe2\x80\xa6 https://t.co/YXY3awCIcR'"
1039423317386649600,2018-09-11 08:00:05,"b'""It\xe2\x80\x99s easy to forget now because it happened 2 very long weeks ago, but Serena Williams arrived at the 2018 United\xe2\x80\xa6 https://t.co/FSGHvJBS1X'"
1039419536011939841,2018-09-11 07:45:03,b'The Trump administration is considering sanctions on Chinese officials over the detention of hundreds of thousands\xe2\x80\xa6 https://t.co/MuKK6rJSA7'
1039415769694650368,2018-09-11 07:30:05,"b'She spent 18 years researching a biography of her grandfather, a national hero in Lithuania, expecting to produce a\xe2\x80\xa6 https://t.co/pKtP36IDl6'"
1039412012042870816,2018-09-11 07:15:09,"b'If President Trump runs out of patience, there is a high risk the talks could fall apart entirely, disrupting the $\xe2\x80\xa6 https://t.co/rllZTiULjs'"
1039404451319230464,2018-09-11 06:45:07,"b'\xe2\x80\x9cIf we do not change course by 2020, we risk missing the point where we can avoid runaway climate change,\xe2\x80\x9d the Unit\xe2\x80\xa6 https://t.co/OxlDycmzZT'"
1039400683613630464,2018-09-11 06:30:08,b'The confrontation between Serena Williams and the chair umpire started with a warning for breaking a rule that many\xe2\x80\xa6 https://t.co/1YTOFN70ge'
1039396901311971328,2018-09-11 06:15:06,"b'In Opinion\n\nFrom Contributing Op-Ed writer Julia Baird: ""In recent weeks, slut shaming has become a household term\xe2\x80\xa6 https://t.co/1iGgI9iPHc'"
1039393165822767104,2018-09-11 06:00:16,b'Hurricane Florence Tracker: The storm strengthened to a Category 4 storm on Monday as it continued on a path toward\xe2\x80\xa6 https://t.co/5tYhqBqRw0'
1039389339229282306,2018-09-11 05:45:04,"b'RT @nytimesworld: The United Nations and a Middle East scholars association have called on Iran to release Xiyue Wang, an American graduate\xe2\x80\xa6'"
1039386940695400448,2018-09-11 05:35:32,b'RT @damiencave: A few things to add: 1) We did not use the cartoon as our promo image for social media; 2) I interviewed non-white cartooni\xe2\x80\xa6'
1039385593397030913,2018-09-11 05:30:10,"b'\xe2\x80\x9cThe cartoon about Serena is about her poor behavior on the day, not about race,\xe2\x80\x9d  the artist said. But many of his\xe2\x80\xa6 https://t.co/SYnSelTgv0'"
1039381783547191296,2018-09-11 05:15:02,"b'This was the debut of the newer, woker Miss America \xe2\x80\x94 or \xe2\x80\x9cMiss America 2.0,\xe2\x80\x9d as it has been rebranded https://t.co/isLmxARfrM'"
1039378013576683520,2018-09-11 05:00:03,"b""Young winemakers are proving that you can make great wines even if you don't have a lot of money and an inherited v\xe2\x80\xa6 https://t.co/qOTuWjuCUG"""
1039374750332669952,2018-09-11 04:47:05,"b'\xe2\x80\x9cWe are being overrun with fentanyl,\xe2\x80\x9d said Senator Rob Portman. \xe2\x80\x9cIt is 50 times more powerful than heroin. It is ve\xe2\x80\xa6 https://t.co/ZjxJfk2blc'"
1039370988666990592,2018-09-11 04:32:08,"b'For years, inhabitants have complained about the potholes, unkempt parks, and garbage plaguing Rome. But now the ci\xe2\x80\xa6 https://t.co/XbMQYTkxXt'"
1039367200019230720,2018-09-11 04:17:05,"b'The exploits of General Storm, an anti-Communist hero, have long been a source of pride in his village. But researc\xe2\x80\xa6 https://t.co/bUnKmVtjrq'"
1039363423501475840,2018-09-11 04:02:05,"b""Why are night-flying insects attracted to electric lights? Here's a short explanation. https://t.co/rb6novzlI8"""
1039359639828213760,2018-09-11 03:47:03,"b'RT @kevinmdraper: I talked to three ESPN execs about Jimmy Pitaro\xe2\x80\x99s vision for the network, and they chose their words carefully. https://t\xe2\x80\xa6'"
1039355882566500352,2018-09-11 03:32:07,b'An analysis by the Education Department has found that its proposed new rules for handling allegations of sexual mi\xe2\x80\xa6 https://t.co/I8tSsvClKg'
1039352853482143745,2018-09-11 03:20:05,"b'Les Moonves made his name as a programmer of shows with clear-cut villains and heroes. On Sunday, after more allega\xe2\x80\xa6 https://t.co/h5wZzIj6XA'"
1039350884424208384,2018-09-11 03:12:15,b'RT @ShaneGoldmacher: NEW: Cuomo has said pre-primary timing to open a new bridge was decided by contractors alone. \n\nA letter obtained by N\xe2\x80\xa6'
1039348339844759552,2018-09-11 03:02:09,b'RT @NYTSports: Sam Darnold went from throwing a pick-six on his first NFL pass to setting a franchise record for most points on the road. h\xe2\x80\xa6'
1039344550073065472,2018-09-11 02:47:05,b'Much of how we think about contemporary music criticism traces its roots to The Village Voice\nhttps://t.co/TEYc8YPTGP'
1039340772653322241,2018-09-11 02:32:04,b'There is not much incentive to specialize in addiction medicine and almost no substantial education available for m\xe2\x80\xa6 https://t.co/fgmdSLP5a8'
1039336999239475200,2018-09-11 02:17:05,"b'RT @clairecm: When I write about women in male-dominated professions, I often get asked whether it matters for men to be in female-dominate\xe2\x80\xa6'"
1039333217860558853,2018-09-11 02:02:03,"b'\xe2\x80\x9cClimate change is the defining issue of our time, and we are at a defining moment,\xe2\x80\x9d United Nations secretary gener\xe2\x80\xa6 https://t.co/AqDQLNGMQR'"
1039329438268370944,2018-09-11 01:47:02,"b'A quarter of the world\xe2\x80\x99s 100 busiest airports are less than 10 meters, or 32 feet, above sea level. The threat from\xe2\x80\xa6 https://t.co/W1bJpBnVTl'"
1039325686123646977,2018-09-11 01:32:07,b'Hurricane Florence jumped to Category 4 strength with 140 mph winds. The National Hurricane Center said to expect b\xe2\x80\xa6 https://t.co/Bl9wy4dboE'
1039321241507778569,2018-09-11 01:14:28,"b'RT @CoralMDavenport: SCOOP: The Trump administration is planning to make it easier for oil and gas companies to release methane, a potent p\xe2\x80\xa6'"
1039318112166924288,2018-09-11 01:02:02,"b""Evening Briefing: Here's what you need to know at the end of the day https://t.co/Z2qAW4nb6j"""
1039314337473732608,2018-09-11 00:47:02,"b""Social Q's: A reader wants her brother to patch things up with their parents after they were treated badly on his b\xe2\x80\xa6 https://t.co/YYr7hEQ7oK"""
1039310562302341120,2018-09-11 00:32:02,"b'Inspired by a sightless friend, a Bulgarian entrepreneur helped invent Blitab, a tablet to help blind and visually\xe2\x80\xa6 https://t.co/aeomlG4Twe'"
1039306802565992449,2018-09-11 00:17:05,"b'RT @mschwirtz: Reporting this story w @EllenBarryNYT required 5 trips to Salisbury, 2 to Russia, 2 to Spain, 3 to Prague, 1 to Estonia and\xe2\x80\xa6'"
1039303021841276930,2018-09-11 00:02:04,"b'Insurgent candidates are reaching voters with viral videos instead of old-fashioned political ads. They\xe2\x80\x99re cheaper,\xe2\x80\xa6 https://t.co/BjVEJlW625'"
1039299234124783617,2018-09-10 23:47:01,b'Hurricane Florence Tracker: Storm\xe2\x80\x99s path toward the Carolinas\nhttps://t.co/ye68G9JU68'
1039295476938534912,2018-09-10 23:32:05,"b""Locals and business owners on Florida's Gulf Coast say an extended red tide has been a knockout blow for tourism https://t.co/2YhcVDKcsp"""
1039291687003189248,2018-09-10 23:17:01,"b'Corporate events are getting a digital makeover, and that includes some surveillance-style tools https://t.co/qfHrYkC5aJ'"
1039287921763905536,2018-09-10 23:02:04,"b""Evening Briefing: Here's what you need to know at the end of the day https://t.co/5ekD4SfGQ7"""
1039284140854726656,2018-09-10 22:47:02,b'RT @patrickhealynyt: The NYT is trying something different: A politics newsletter for people who don\xe2\x80\x99t always love political stories. \xe2\x80\x9cOn P\xe2\x80\xa6'
1039280358834012160,2018-09-10 22:32:01,"b'In Opinion\n\nAndrew Farnsworth and Kyle G. Horton, scientists at the Cornell Lab of Ornithology, write \xe2\x80\x9cAs the coope\xe2\x80\xa6 https://t.co/eF5yy5s8kk'"
1039276593506594817,2018-09-10 22:17:03,"b'RT @NYTObits: As a reporter, his favorite dateline was with an article for The Baltimore Sun, quoting Richard M. Nixon in 1973 during the W\xe2\x80\xa6'"
1039274086650859520,2018-09-10 22:07:05,"b'""Who\'s putting a bearded lady or a one-armed girl in a leading lady role on Broadway?"" Ward Hall once asked, defend\xe2\x80\xa6 https://t.co/GAu0HEULQQ'"
1039271296100704256,2018-09-10 21:56:00,"b'The EPA, perhaps as soon as this week, plans to make public a proposal to weaken an Obama-era requirement that comp\xe2\x80\xa6 https://t.co/7TOhd45siP'"
1039268036128198658,2018-09-10 21:43:03,"b'Breaking News: The Trump administration wants to make it easier to release methane into the air, its third major st\xe2\x80\xa6 https://t.co/1b9Ao7F94T'"
1039264773567926272,2018-09-10 21:30:05,"b'The unexpected addition of honey lends a subtle, earthy sweetness to this tomato soup recipe https://t.co/77H8M03ACd https://t.co/LvsDb3O2K4'"
1039260972169539584,2018-09-10 21:14:58,b'Breaking News: The U.S. may impose sanctions on Chinese officials over the treatment of Muslims. It would be a rare\xe2\x80\xa6 https://t.co/FBUoTRzSSu'
1039257219957747716,2018-09-10 21:00:04,"b'Sergei Skripal and Vladimir Putin, Soviet men of the same age, were raised to wage war against the West. After the\xe2\x80\xa6 https://t.co/TaOmG4ELbp'"
1039253451543388161,2018-09-10 20:45:05,"b'While Instagram, Facebook, YouTube and Twitter have been drowning in toxic harassment, fake news and Russian disinf\xe2\x80\xa6 https://t.co/92sQDgqyOV'"
1039249705383944192,2018-09-10 20:30:12,"b""Imran Khan, chief strategy officer and one of the few executives remaining at Snapchat's parent company Snap, is st\xe2\x80\xa6 https://t.co/9cVa3uGV96"""
1039245893759844353,2018-09-10 20:15:03,b'RT @tmagazine: This Dublin block tells the story of the city https://t.co/DprGBqbqlz https://t.co/B2LrkTvxA3'
1039242149924143104,2018-09-10 20:00:11,"b'Rashida Tlaib: ""This is a new era. There\xe2\x80\x99s a new generation of leaders that are coming up the ranks that are coming\xe2\x80\xa6 https://t.co/SaLgUUB88h'"
1039240616000057345,2018-09-10 19:54:05,"b""RT @llerer: I'm starting something new. It's daily note about politics that aims to cut through all the chaos &amp; noise. Sign up here:  https\xe2\x80\xa6"""
1039238366427078656,2018-09-10 19:45:09,"b'\xe2\x80\x9cI believe that in this century, we can win a 4-day working week, with decent pay for everyone"": A British labor or\xe2\x80\xa6 https://t.co/ivyHGekaai'"
1039236596724379650,2018-09-10 19:38:07,b'The governor of South Carolina ordered more than 1 million coastal residents to evacuate as Hurricane Florence gain\xe2\x80\xa6 https://t.co/LEpJdgDBc5'
1039234587841445888,2018-09-10 19:30:08,"b'Facebook, Google and Twitter have new tools that attempt to shed light on dark ads \xe2\x80\x94\xc2\xa0those online political message\xe2\x80\xa6 https://t.co/C5jwM2Jq2O'"
1039232182114574339,2018-09-10 19:20:34,"b'""Do I think it was absolutely vital that a woman got this job? Absolutely,"" says Christiane Amanpour, whose new sho\xe2\x80\xa6 https://t.co/Tu4SKLOn2k'"
1039228780152205312,2018-09-10 19:07:03,"b""RT @mega2e: Remarkable that in this interview w/@markmazzettiNYT, Papadopoulos can't recall whether over drinks with a top Australian diplo\xe2\x80\xa6"""
1039227029038743552,2018-09-10 19:00:06,b'The Dallas police officer charged with shooting and killing Botham Shem Jean in his apartment could face additional\xe2\x80\xa6 https://t.co/jUaWqskbLt'
1039223249245282304,2018-09-10 18:45:05,"b'This election season, candidates have found an alternative to traditional political ads: personal, documentary-styl\xe2\x80\xa6 https://t.co/MdlpcA3Zw6'"
1039220150766059521,2018-09-10 18:32:46,"b'RT @cliffordlevy: Chilling footage:\nA 15-year-old was ambushed and fatally stabbed at a Bronx store, and it was all caught on camera. Our v\xe2\x80\xa6'"
1039219459112742913,2018-09-10 18:30:01,"b'RT @nytimesbusiness: Snap, the parent company of Snapchat, recently reported a decline in users, and its stock has fallen more than 40 perc\xe2\x80\xa6'"
1039216973689831425,2018-09-10 18:20:08,b'RT @nytopinion: Get to know our columnist @FrankBruni even better. Sign up for his new newsletter and go behind the curtain with his candid\xe2\x80\xa6'
1039215712747831301,2018-09-10 18:15:08,b'94-year-old actress Carole Cook joked about assassinating Trump in an interview with TMZ. A spokesperson for the Se\xe2\x80\xa6 https://t.co/DNN3jjJYMt'
1039212298626318338,2018-09-10 18:01:34,"b'Addiction leads to 632,000 deaths in the US annually but comprehensive addiction training is rare in American medic\xe2\x80\xa6 https://t.co/mtUivzzPeg'"
1039208150816182272,2018-09-10 17:45:05,"b'In Opinion\n\nYale philosophy professor Jason Stanley writes, ""If Germany is to be praised it is precisely because it\xe2\x80\xa6 https://t.co/2vFz9BatYZ'"
1039204405340504064,2018-09-10 17:30:12,"b'Harbor and gray seals are dying by the hundreds from Southern Maine to northern Massachusetts, apparently from a co\xe2\x80\xa6 https://t.co/vA1fe3oZhO'"
1039201877408317440,2018-09-10 17:20:09,"b'Fact Check: President Trump falsely claimed GDP growth is higher than unemployment ""for the first time in 100 years\xe2\x80\xa6 https://t.co/TwequVucp7'"
1039199412642304002,2018-09-10 17:10:22,"b'Breaking: The U.S. threatened sanctions if a war crimes court investigated its troops in Afghanistan, and moved to\xe2\x80\xa6 https://t.co/hkfVEDzmMf'"
1039197051488223232,2018-09-10 17:00:59,b'Why was this teenager stabbed to death 2 blocks from his home in the Bronx? We used surveillance footage to trace t\xe2\x80\xa6 https://t.co/oS4vA17txt'
1039193054551441414,2018-09-10 16:45:06,"b'\xe2\x80\x9cHere, I\xe2\x80\x99m free to be me.\xe2\x80\x9d For Muslim women who consider it forbidden to expose their bodies in front of men, a wom\xe2\x80\xa6 https://t.co/vwySEcfhWx'"
1039189269263396864,2018-09-10 16:30:03,"b'Ron DeSantis, a Florida Republican, resigned from Congress to devote himself to his closely watched race for govern\xe2\x80\xa6 https://t.co/gNanaAF0Iw'"
1039185501633294337,2018-09-10 16:15:05,"b'Lined with outsize Georgian buildings, Henrietta Street has been, over the years, home to both tenement squalor and\xe2\x80\xa6 https://t.co/1JLcNHYH0S'"
